HW Test ID;HW requirements ID
HWTEST_004;HW_REQ_4930
HWTEST_004;HW_REQ_4940
HWTEST_004;HW_REQ_4890
HWTEST_004;HW_REQ_4910
HWTEST_004;HW_REQ_5060
HWTEST_004;HW_REQ_5070
HWTEST_004;HW_REQ_5080
HWTEST_004;HW_REQ_5090
HWTEST_004;HW_REQ_5100
HWTEST_004;HW_REQ_5110
HWTEST_004;HW_REQ_5120
HWTEST_004;HW_REQ_5041
HWTEST_004;HW_REQ_5390
HWTEST_004;HW_SREQ_5131
HWTEST_004;HW_SREQ_4861
HWTEST_004;HW_REQ_3521
HWTEST_005;HW_SREQ_2160
HWTEST_006;HW_SREQ_0870
HWTEST_006;HW_REQ_0880
HWTEST_006;HW_REQ_0990
HWTEST_006;HW_REQ_1040
HWTEST_006;HW_REQ_1210
HWTEST_006;HW_REQ_1260
HWTEST_006;HW_REQ_1710
HWTEST_006;HW_SREQ_1810
HWTEST_006;HW_REQ_1930
HWTEST_006;HW_REQ_1960
HWTEST_006;HW_REQ_2470
HWTEST_006;HW_REQ_2480
HWTEST_006;HW_REQ_2680
HWTEST_006;HW_REQ_2690
HWTEST_006;HW_REQ_2870
HWTEST_006;HW_REQ_2880
HWTEST_006;HW_REQ_3080
HWTEST_006;HW_REQ_3090
HWTEST_006;HW_REQ_3870
HWTEST_006;HW_REQ_3880
HWTEST_006;HW_REQ_4050
HWTEST_006;HW_REQ_4060
HWTEST_006;HW_REQ_4220
HWTEST_006;HW_REQ_4230
HWTEST_006;HW_REQ_4370
HWTEST_006;HW_REQ_4380
HWTEST_006;HW_REQ_4480
HWTEST_006;HW_REQ_4500
HWTEST_007;HW_SREQ_0160
HWTEST_007;HW_REQ_0170
HWTEST_007;HW_REQ_0180
HWTEST_007;HW_REQ_0190
HWTEST_007;HW_REQ_0200
HWTEST_007;HW_SREQ_0210
HWTEST_007;HW_REQ_0220
HWTEST_007;HW_REQ_0230
HWTEST_007;HW_REQ_0240
HWTEST_007;HW_REQ_0250
HWTEST_007;HW_REQ_1090 
HWTEST_007;HW_REQ_1100
HWTEST_007;HW_REQ_1110
HWTEST_007;HW_REQ_1340
HWTEST_007;HW_SREQ_0161
HWTEST_007;HW_SREQ_0162
HWTEST_007;HW_SREQ_0163
HWTEST_007;HW_SREQ_0164
HWTEST_007;HW_SREQ_0165
HWTEST_007;HW_SREQ_0166
HWTEST_007;HW_SREQ_0167
HWTEST_007;HW_SREQ_0168
HWTEST_008;HW_REQ_0260
HWTEST_008;HW_REQ_3660
HWTEST_008;HW_SREQ_2210
HWTEST_011;HW_REQ_0430
HWTEST_011;HW_REQ_0440
HWTEST_011;HW_REQ_0460
HWTEST_011;HW_REQ_0470
HWTEST_011;HW_REQ_0480
HWTEST_012;HW_REQ_0490
HWTEST_012;HW_REQ_0500
HWTEST_013;HW_SREQ_0510
HWTEST_013;HW_SREQ_0520
HWTEST_014;HW_REQ_0710
HWTEST_014;HW_REQ_0730
HWTEST_015;HW_REQ_0890
HWTEST_015;HW_REQ_1050
HWTEST_015;HW_REQ_1270
HWTEST_015;HW_REQ_1720
HWTEST_015;HW_SREQ_1820
HWTEST_015;HW_REQ_1940
HWTEST_015;HW_REQ_1970
HWTEST_016;HW_REQ_0900
HWTEST_016;HW_REQ_1000
HWTEST_016;HW_REQ_1220
HWTEST_016;HW_REQ_1440
HWTEST_016;HW_REQ_1510
HWTEST_016;HW_REQ_1730
HWTEST_016;HW_SREQ_1830
HWTEST_016;HW_SREQ_1840
HWTEST_016;HW_REQ_1950
HWTEST_016;HW_REQ_1980
HWTEST_016;HW_REQ_1990
HWTEST_016;HW_REQ_3310
HWTEST_016;HW_REQ_3320
HWTEST_016;HW_REQ_3500
HWTEST_016;HW_REQ_4720
HWTEST_016;HW_REQ_4730
HWTEST_016;HW_REQ_4840
HWTEST_016;HW_REQ_5020
HWTEST_017;HW_REQ_0910
HWTEST_017;HW_REQ_0920
HWTEST_017;HW_REQ_1010
HWTEST_017;HW_REQ_1020
HWTEST_017;HW_REQ_1030
HWTEST_017;HW_REQ_1120
HWTEST_017;HW_REQ_1130
HWTEST_017;HW_REQ_1230
HWTEST_017;HW_REQ_1240
HWTEST_017;HW_REQ_1250
HWTEST_017;HW_REQ_1350
HWTEST_017;HW_REQ_1360
HWTEST_017;HW_REQ_1740
HWTEST_017;HW_REQ_2510
HWTEST_017;HW_REQ_2520
HWTEST_017;HW_REQ_2920
HWTEST_017;HW_REQ_3130
HWTEST_017;HW_REQ_3910
HWTEST_017;HW_REQ_3920
HWTEST_017;HW_REQ_4400
HWTEST_017;HW_REQ_4640
HWTEST_017;HW_REQ_4650
HWTEST_018;HW_REQ_0930
HWTEST_018;HW_REQ_1060
HWTEST_018;HW_REQ_1070
HWTEST_018;HW_REQ_1080
HWTEST_018;HW_REQ_1140
HWTEST_018;HW_REQ_1150
HWTEST_018;HW_REQ_1750
HWTEST_018;HW_REQ_1870
HWTEST_018;HW_REQ_2140
HWTEST_018;HW_REQ_2340
HWTEST_018;HW_REQ_3740
HWTEST_019;HW_REQ_1280
HWTEST_019;HW_REQ_1290
HWTEST_019;HW_REQ_1300
HWTEST_019;HW_SREQ_1310
HWTEST_019;HW_REQ_1320
HWTEST_019;HW_REQ_1330
HWTEST_019;HW_REQ_1370
HWTEST_019;HW_REQ_1380
HWTEST_020;HW_REQ_1450
HWTEST_020;HW_REQ_1520
HWTEST_020;HW_REQ_3330
HWTEST_020;HW_REQ_3340
HWTEST_020;HW_REQ_3370
HWTEST_020;HW_REQ_3380
HWTEST_020;HW_REQ_3510
HWTEST_020;HW_REQ_4740
HWTEST_020;HW_REQ_4750
HWTEST_020;HW_REQ_4850
HWTEST_020;HW_REQ_5030
HWTEST_020;HW_REQ_3345
HWTEST_020;HW_REQ_3385
HWTEST_021;HW_REQ_1620
HWTEST_021;HW_REQ_1630
HWTEST_021;HW_REQ_1660
HWTEST_021;HW_REQ_3580
HWTEST_021;HW_REQ_3590
HWTEST_022;HW_SREQ_1850
HWTEST_022;HW_SREQ_1860
HWTEST_023;HW_REQ_2000
HWTEST_023;HW_REQ_2010
HWTEST_023;HW_REQ_2020
HWTEST_023;HW_REQ_2030
HWTEST_023;HW_REQ_2040
HWTEST_023;HW_REQ_2050
HWTEST_023;HW_REQ_2060
HWTEST_023;HW_REQ_2070
HWTEST_023;HW_REQ_2080
HWTEST_023;HW_REQ_2090
HWTEST_023;HW_REQ_2100
HWTEST_023;HW_REQ_2110
HWTEST_023;HW_REQ_2120
HWTEST_023;HW_REQ_2130
HWTEST_024;HW_SREQ_2220
HWTEST_024;HW_SREQ_2230
HWTEST_024;HW_SREQ_2240
HWTEST_024;HW_REQ_2250
HWTEST_024;HW_REQ_2270
HWTEST_024;HW_REQ_2280
HWTEST_024;HW_REQ_2290
HWTEST_024;HW_REQ_2300
HWTEST_024;HW_REQ_2320
HWTEST_024;HW_REQ_2330
HWTEST_024;HW_REQ_2350
HWTEST_024;HW_REQ_2360
HWTEST_024;HW_REQ_2370
HWTEST_024;HW_REQ_2380
HWTEST_024;HW_REQ_2390
HWTEST_024;HW_REQ_2400
HWTEST_024;HW_REQ_2410
HWTEST_024;HW_REQ_2420
HWTEST_025;HW_REQ_2490
HWTEST_025;HW_REQ_2500
HWTEST_025;HW_SREQ_2530
HWTEST_025;HW_REQ_2540
HWTEST_025;HW_REQ_2550
HWTEST_025;HW_REQ_2560
HWTEST_025;HW_SREQ_2580
HWTEST_025;HW_SREQ_2600
HWTEST_025;HW_SREQ_2610
HWTEST_025;HW_REQ_2620
HWTEST_025;HW_REQ_2630
HWTEST_025;HW_SREQ_2570
HWTEST_025;HW_SREQ_5190
HWTEST_025;HW_SREQ_2535
HWTEST_025;HW_SREQ_2611
HWTEST_025;HW_SREQ_2612
HWTEST_026;HW_REQ_2700
HWTEST_026;HW_SREQ_2710
HWTEST_026;HW_REQ_2720
HWTEST_026;HW_SREQ_2730
HWTEST_026;HW_REQ_2740
HWTEST_026;HW_REQ_2760
HWTEST_026;HW_REQ_2770
HWTEST_026;HW_SREQ_2780
HWTEST_026;HW_SREQ_2790
HWTEST_026;HW_REQ_2810
HWTEST_026;HW_REQ_2820
HWTEST_026;HW_SREQ_5200
HWTEST_026;HW_SREQ_2735
HWTEST_026;HW_SREQ_2791
HWTEST_026;HW_SREQ_2792
HWTEST_027;HW_REQ_2890
HWTEST_027;HW_SREQ_2900
HWTEST_027;HW_REQ_2910
HWTEST_027;HW_SREQ_2940
HWTEST_027;HW_REQ_2950
HWTEST_027;HW_REQ_2960
HWTEST_027;HW_REQ_2980
HWTEST_027;HW_REQ_2990
HWTEST_027;HW_SREQ_3000
HWTEST_027;HW_SREQ_3010
HWTEST_027;HW_REQ_3020
HWTEST_027;HW_REQ_3030
HWTEST_028;HW_REQ_3100
HWTEST_028;HW_SREQ_3110
HWTEST_028;HW_REQ_3120
HWTEST_028;HW_REQ_3140
HWTEST_028;HW_SREQ_3150
HWTEST_028;HW_REQ_3160
HWTEST_028;HW_REQ_3170
HWTEST_028;HW_REQ_3180
HWTEST_028;HW_REQ_3190
HWTEST_028;HW_REQ_3210
HWTEST_028;HW_REQ_3220
HWTEST_028;HW_SREQ_3230
HWTEST_028;HW_SREQ_3240
HWTEST_028;HW_REQ_3250
HWTEST_028;HW_REQ_3260
HWTEST_028;HW_REQ_2930
HWTEST_029;HW_REQ_3620
HWTEST_029;HW_REQ_3670
HWTEST_029;HW_REQ_3680
HWTEST_029;HW_REQ_3690
HWTEST_029;HW_REQ_3700
HWTEST_029;HW_REQ_3710
HWTEST_029;HW_REQ_3720
HWTEST_029;HW_REQ_3730
HWTEST_029;HW_REQ_3750
HWTEST_029;HW_REQ_3760
HWTEST_029;HW_REQ_3770
HWTEST_029;HW_REQ_3780
HWTEST_029;HW_REQ_3790
HWTEST_029;HW_REQ_3800
HWTEST_029;HW_REQ_3820
HWTEST_029;HW_REQ_3675
HWTEST_030;HW_REQ_3890
HWTEST_030;HW_REQ_3900
HWTEST_030;HW_REQ_3930
HWTEST_030;HW_REQ_3950
HWTEST_030;HW_REQ_3960
HWTEST_030;HW_REQ_3970
HWTEST_030;HW_REQ_3990
HWTEST_030;HW_REQ_4000
HWTEST_031;HW_REQ_4070
HWTEST_031;HW_REQ_4080
HWTEST_031;HW_REQ_4090
HWTEST_031;HW_REQ_4100
HWTEST_031;HW_REQ_4120
HWTEST_031;HW_REQ_4140
HWTEST_031;HW_REQ_4160
HWTEST_031;HW_REQ_4170
HWTEST_032;HW_REQ_4240
HWTEST_032;HW_REQ_4250
HWTEST_032;HW_REQ_4260
HWTEST_032;HW_REQ_4270
HWTEST_032;HW_REQ_4280
HWTEST_032;HW_REQ_4290
HWTEST_032;HW_REQ_4300
HWTEST_033;HW_REQ_4350
HWTEST_033;HW_REQ_4360
HWTEST_033;HW_REQ_4390
HWTEST_033;HW_REQ_4410
HWTEST_033;HW_REQ_4420
HWTEST_033;HW_REQ_4430
HWTEST_034;HW_REQ_4490
HWTEST_034;HW_REQ_4510
HWTEST_034;HW_REQ_4520
HWTEST_034;HW_REQ_4530
HWTEST_034;HW_REQ_4540
HWTEST_034;HW_REQ_4550
HWTEST_034;HW_REQ_4560
HWTEST_035;HW_REQ_4610
HWTEST_035;HW_REQ_4620
HWTEST_035;HW_REQ_4630
HWTEST_035;HW_REQ_4660
HWTEST_035;HW_REQ_4670
HWTEST_036;HW_SREQ_5260
HWTEST_036;HW_SREQ_5270
HWTEST_036;HW_SREQ_5280
HWTEST_036;HW_SREQ_5290
HWTEST_036;HW_SREQ_5300
HWTEST_036;HW_SREQ_5310
HWTEST_036;HW_SREQ_5320
HWTEST_036;HW_SREQ_5330
HWTEST_036;HW_SREQ_5340
HWTEST_036;HW_SREQ_5350
HWTEST_036;HW_SREQ_5360
HWTEST_036;HW_SREQ_5370
HWTEST_036;HW_SREQ_5380
HWTEST_036;HW_SREQ_5261
HWTEST_036;HW_SREQ_5400
HWTEST_037;HW_SREQ_5240
HWTEST_038;HW_SREQ_5220
